867,834,848,987,849,993,840,581,772,918,720,823,775,924,796,729,1021,656,495,692,720,455,475,403,391,353,322,183,130,74,451,490,421,369,345,435,497,0,415,380,283,281,442,668,799,824,686,688
1130,1088,1111,1128,1042,1135,1023,847,1035,1060,982,1086,1037,1186,1058,991,1090,919,706,954,983,717,737,665,654,565,585,445,393,336,80,207,377,193,417,152,96,466,0,427,262,353,705,930,1010,793,843,813
1054,1021,1035,1173,1036,1180,1027,771,959,1105,906,1010,961,1110,982,915,1099,843,630,878,907,641,661,589,578,489,509,369,317,260,100,243,41,118,342,188,116,390,34,0,186,277,629,854,934,812,767,737
868,835,849,987,850,994,841,581,773,919,720,824,775,924,796,729,1021,657,495,692,721,455,475,403,392,354,323,183,131,74,452,491,422,370,346,436,497,204,415,381,0,282,443,668,800,825,687,688
986,783,803,915,778,922,769,535,701,847,648,752,703,884,724,735,863,719,394,765,767,489,524,461,544,253,424,374,161,304,355,385,491,308,305,330,441,244,575,541,242,0,633,596,698,637,531,501
826,793,807,945,807,952,799,649,731,877,678,782,733,882,754,687,979,615,638,650,678,558,530,599,580,661,506,491,644,645,624,766,564,641,861,712,640,718,558,524,570,773,0,626,958,1244,644,881
644,333,353,465,327,471,318,479,250,396,198,301,252,433,274,285,499,269,338,315,316,420,393,462,481,355,527,658,504,639,761,800,897,682,721,745,847,579,890,856,659,494,832,0,415,675,192,484
745,525,546,565,479,572,460,788,554,497,501,562,556,774,503,588,527,572,647,618,619,729,702,771,790,592,763,847,693,827,895,835,1070,886,909,870,981,767,1079,1044,847,682,1106,419,0,519,391,394
817,597,618,637,551,644,532,969,617,569,571,635,626,846,575,658,599,642,828,688,695,923,856,894,978,687,858,828,674,809,691,640,858,674,816,665,776,748,942,908,743,616,1087,604,711,0,664,518
758,446,466,578,440,584,432,436,364,509,311,415,366,546,387,398,517,382,295,428,429,377,350,419,439,316,487,570,416,551,673,712,809,594,633,657,759,491,802,768,571,406,789,176,356,720,0,276
876,657,677,696,610,703,591,620,692,628,639,694,694,905,634,726,658,710,479,756,758,574,609,545,629,338,509,592,438,573,695,734,831,616,655,679,781,513,824,790,593,428,852,520,293,657,343,0
